City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,Qaanaaq,77.48,-69.36,42.39,65,0,3.62,GL,1595810658
85,Faya,18.39,42.45,64.4,88,40,10.29,SA,1595810658
86,Impfondo,1.64,18.07,68.07,98,86,2.39,CG,1595810658
87,Hohhot,40.81,111.65,64.4,93,20,2.24,CN,1595810659
88,Sovetskiy,61.36,63.58,56.66,83,0,6.33,RU,1595810659
89,Albany,42.6,-73.97,80.01,55,95,5.3,US,1595810546
90,Korla,41.76,86.15,87.01,71,11,1.01,CN,1595810387
91,Lethem,3.38,-59.8,76.8,82,11,4.07,GY,1595810198
92,Matara,5.95,80.54,78.51,86,100,13.98,LK,1595810660
93,Kozhva,65.11,57.05,58.01,73,0,6.08,RU,1595810660
94,Pevek,69.7,170.31,48.09,82,45,15.14,RU,1595810538
95,Gizo Government Station,-8.1,156.84,83.75,73,0,7.99,SB,1595810721
96,Port Blair,11.67,92.75,82.6,75,100,1.03,IN,1595810721
97,Sisimiut,66.94,-53.67,45.5,91,100,7.36,GL,1595810721
98,Saint-Philippe,-21.36,55.77,66.2,72,89,5.82,RE,1595810721
99,Qorveh,35.17,47.8,61.12,32,43,1.59,IR,1595810561
100,Lingao,19.91,109.69,87.17,64,99,3.24,CN,1595810722
101,Shahreza,32.03,51.88,70.09,32,7,0.96,IR,1595810722
102,Acaraú,-2.89,-40.12,76.69,81,78,15.23,BR,1595810325
103,Houston,29.76,-95.36,86.0,78,20,9.17,US,1595810341
104,Silver City,32.77,-108.28,64.4,88,90,12.75,US,1595810723
105,Godhra,22.75,73.63,80.6,94,40,3.36,IN,1595810723
106,Avarua,-21.21,-159.78,71.6,88,64,8.05,CK,1595810724
107,Quelimane,-17.88,36.89,64.4,88,15,3.15,MZ,1595810724
108,Cape Town,-33.93,18.42,53.01,76,0,6.93,ZA,1595810526
109,Brownsville,25.9,-97.5,84.2,89,90,14.99,US,1595810725
110,Kalabo,-14.97,22.68,51.37,57,0,6.17,ZM,1595810725
111,Manavālakurichi,8.13,77.3,80.6,83,40,5.82,IN,1595810725
112,Dossor,47.53,52.98,73.53,37,88,8.66,KZ,1595810726
113,Daru,-9.08,143.21,79.68,83,46,16.13,PG,1595810726
114,Ilulissat,69.22,-51.1,44.6,93,100,3.36,GL,1595810414
115,New Norfolk,-42.78,147.06,51.01,78,100,3.0,AU,1595810727
116,Yerbogachën,61.28,108.01,63.61,69,5,6.67,RU,1595810538
117,Ahipara,-35.17,173.17,57.49,55,46,4.88,NZ,1595810727
118,Kahului,20.89,-156.47,80.6,78,90,9.17,US,1595810058
119,Nynäshamn,58.9,17.95,66.0,90,100,5.01,SE,1595810505
120,Buala,-8.14,159.59,84.49,74,40,10.49,SB,1595810728
121,Necochea,-38.55,-58.74,48.0,45,100,7.0,AR,1595810728
122,Tuktoyaktuk,69.45,-133.04,68.0,52,75,3.36,CA,1595810728
123,Phanom Sarakham,13.75,101.36,90.0,100,94,5.14,TH,1595810729
124,Minggang,32.46,114.05,73.08,89,98,3.04,CN,1595810729
125,Tessalit,20.2,1.01,89.78,34,6,7.65,ML,1595810729
126,Cidreira,-30.18,-50.21,57.94,87,100,13.04,BR,1595810729
127,Wurzen,51.37,12.73,59.0,93,40,2.24,DE,1595810730
128,Santa Cruz de la Sierra,-17.8,-63.17,62.6,82,45,5.82,BO,1595810448
129,Vigrestad,58.57,5.7,55.0,99,6,1.01,NO,1595810499
130,Port Elizabeth,-33.92,25.57,51.8,93,40,5.82,ZA,1595810731
131,Egvekinot,66.32,-179.17,64.9,68,8,7.54,RU,1595810731
132,Adrar,20.5,-10.07,92.61,29,0,10.18,MR,1595810312
133,Shingū,33.73,135.98,78.8,94,75,10.29,JP,1595810731
134,Kokkola,63.84,23.13,59.0,93,0,2.24,FI,1595810589
135,Xambioá,-6.41,-48.54,75.79,40,0,3.27,BR,1595810732
136,La Santisima Trinidad,-14.83,-64.9,68.77,58,76,2.59,BO,1595810447
137,Arraial do Cabo,-22.97,-42.03,71.6,88,75,15.1,BR,1595810792
138,Margate,51.38,1.39,63.0,86,100,1.99,GB,1595810793
139,Rey Bouba,8.67,14.18,71.33,96,100,2.55,CM,1595810793
140,County Wicklow,53.0,-6.42,55.99,93,75,6.93,IE,1595810590
141,El Copé,8.62,-80.6,73.99,89,100,2.66,PA,1595810793
142,Wau,7.7,28.0,69.39,96,100,4.03,SS,1595810794
143,‘Āhuimanu,21.44,-157.84,84.2,74,90,16.11,US,1595810794
144,Saldanha,-33.01,17.94,48.2,76,0,1.12,ZA,1595810794
145,Acapulco de Juárez,16.86,-99.89,87.8,66,75,5.82,MX,1595810445
146,Faanui,-16.48,-151.75,79.21,78,100,16.51,PF,1595810795
147,Bludenz,47.15,9.82,64.99,87,1,1.99,AT,1595810795
148,Bethel,41.37,-73.41,81.0,57,1,5.82,US,1595810796
149,Popova,42.96,131.72,69.8,94,75,4.47,RU,1595810796
150,Santiago del Estero,-27.8,-64.26,57.27,38,0,8.05,AR,1595810796
151,Castro,-24.79,-50.01,55.26,93,100,4.38,BR,1595810680
152,Tautira,-17.73,-149.15,82.4,74,75,11.41,PF,1595810797
153,Clyde River,70.47,-68.59,44.6,87,75,8.05,CA,1595810557
154,Kirakira,-10.45,161.92,83.5,74,6,11.61,SB,1595810589
155,Węgrów,52.4,22.02,66.99,79,62,2.08,PL,1595810797
156,Esperance,-33.87,121.9,50.0,93,99,20.8,AU,1595810570
157,Brae,60.4,-1.35,51.8,93,0,6.93,GB,1595810798
158,Mar del Plata,-38.0,-57.56,52.0,87,90,9.17,AR,1595810798
159,Upernavik,72.79,-56.15,44.64,84,66,6.76,GL,1595810799
160,Kaeo,-35.1,173.78,60.01,43,0,3.0,NZ,1595810799
161,Bredasdorp,-34.53,20.04,42.8,87,1,3.36,ZA,1595810547
162,Deputatsky,69.3,139.9,56.55,70,76,5.26,RU,1595810799
163,Ballina,-28.87,153.57,64.4,55,0,27.51,AU,1595810800
164,Kitimat,54.05,-128.65,68.0,82,36,1.01,CA,1595810800
165,Bairiki Village,1.33,172.98,87.8,70,20,9.17,KI,1595810800
166,Yulara,-25.24,130.99,55.4,54,0,12.75,AU,1595810800
167,Mahébourg,-20.41,57.7,70.0,70,72,7.0,MU,1595810801
168,Rio Grande,-32.03,-52.1,50.0,86,58,12.19,BR,1595810566
169,Emba,48.83,58.14,64.92,61,0,5.14,KZ,1595810801
170,Casablanca,33.59,-7.62,69.8,100,40,6.93,MA,1595810689
171,Provideniya,64.38,-173.3,51.8,76,75,20.13,RU,1595810802
172,Saint Paul Harbor,57.79,-152.41,60.8,72,75,6.93,US,1595810584
173,Balkhash,46.84,74.98,72.91,47,100,12.86,KZ,1595810803
174,Saint George,37.1,-113.58,102.2,10,1,11.41,US,1595810803
175,Riyadh,24.69,46.72,89.6,35,100,8.57,SA,1595810803
176,Boa Vista,2.82,-60.67,80.6,78,40,3.36,BR,1595810805
177,Shache,38.42,77.24,80.71,25,100,9.86,CN,1595810805
178,Constitución,-35.33,-72.42,50.88,87,100,7.2,CL,1595810806
179,Los Llanos de Aridane,28.66,-17.92,71.6,73,11,13.87,ES,1595810806
180,Chokurdakh,70.63,147.92,43.59,72,100,13.62,RU,1595810806
181,Kavaratti,10.57,72.64,81.75,78,7,9.66,IN,1595810867
182,Puerto Ayora,-0.74,-90.35,68.0,88,62,1.99,EC,1595810867
183,Taltal,-25.4,-70.48,56.93,70,0,3.29,CL,1595810867
184,Kaya,13.09,-1.08,79.41,72,0,10.87,BF,1595810272
185,Vila Franca do Campo,37.72,-25.43,69.8,88,75,5.82,PT,1595810868
186,Honningsvåg,70.98,25.97,58.28,73,5,12.15,NO,1595810868
